Loading activations: data/activations/qwen-3b-layer18/activations.npy
  shape     : (500000, 2048)  dtype=float16
  model     : mlx-community/Qwen2.5-3B-bf16
  layer     : 18

Config:
{
  "source_model": "mlx-community/Qwen2.5-3B-bf16",
  "source_layer": 18,
  "d_in": 2048,
  "dict_size": 16384,
  "k": 128,
  "expansion": 8.0,
  "peak_lr": 0.0001,
  "steps": 50000,
  "batch": 2048,
  "warmup": 500,
  "seed": 42,
  "n_source_tokens": 500000,
  "total_tokens": 102400000,
  "epochs_equiv": 204.8
}

Training  steps=50,000  dict=16384  K=128  lr=0.0001  batch=2048

step      1/50,000  loss=23.1120  L0=128.0  FVE=-0.096  dead=3,220  lr=2.00e-07     2,221 tok/s
step    200/50,000  loss=11.7623  L0=128.0  FVE=0.743  dead=3,091  lr=4.00e-05     4,067 tok/s
step    400/50,000  loss=1.9305  L0=128.0  FVE=0.914  dead=3,051  lr=8.00e-05     3,977 tok/s
step    600/50,000  loss=0.7581  L0=128.0  FVE=0.977  dead=3,019  lr=1.00e-04     3,901 tok/s
step    800/50,000  loss=0.6312  L0=128.0  FVE=0.943  dead=2,997  lr=1.00e-04     3,925 tok/s
step  1,000/50,000  loss=0.5803  L0=128.0  FVE=0.948  dead=2,975  lr=1.00e-04     3,879 tok/s
step  1,200/50,000  loss=0.5504  L0=128.0  FVE=0.968  dead=2,961  lr=1.00e-04     3,542 tok/s
step  1,400/50,000  loss=0.5311  L0=128.0  FVE=0.905  dead=2,937  lr=9.99e-05     2,546 tok/s
step  1,600/50,000  loss=0.5150  L0=128.0  FVE=0.921  dead=2,923  lr=9.99e-05     2,132 tok/s
step  1,800/50,000  loss=0.5042  L0=128.0  FVE=0.975  dead=2,904  lr=9.98e-05     1,827 tok/s
step  2,000/50,000  loss=0.4928  L0=128.0  FVE=0.982  dead=2,893  lr=9.98e-05     1,652 tok/s
step  2,200/50,000  loss=0.4851  L0=128.0  FVE=0.971  dead=2,888  lr=9.97e-05     1,540 tok/s
step  2,400/50,000  loss=0.4763  L0=128.0  FVE=0.980  dead=2,878  lr=9.97e-05     1,599 tok/s
step  2,600/50,000  loss=0.4693  L0=128.0  FVE=0.982  dead=2,871  lr=9.96e-05     1,676 tok/s
step  2,800/50,000  loss=0.4628  L0=128.0  FVE=0.974  dead=2,861  lr=9.95e-05     1,750 tok/s
step  3,000/50,000  loss=0.4569  L0=128.0  FVE=0.968  dead=2,851  lr=9.94e-05     1,820 tok/s
step  3,200/50,000  loss=0.4533  L0=128.0  FVE=0.967  dead=2,844  lr=9.93e-05     1,885 tok/s
step  3,400/50,000  loss=0.4466  L0=128.0  FVE=0.956  dead=2,833  lr=9.92e-05     1,946 tok/s
step  3,600/50,000  loss=0.4408  L0=128.0  FVE=0.979  dead=2,822  lr=9.91e-05     2,005 tok/s
step  3,800/50,000  loss=0.4367  L0=128.0  FVE=0.959  dead=2,813  lr=9.90e-05     2,061 tok/s
step  4,000/50,000  loss=0.4315  L0=128.0  FVE=0.971  dead=2,809  lr=9.88e-05     2,114 tok/s
step  4,200/50,000  loss=0.4281  L0=128.0  FVE=0.965  dead=2,796  lr=9.87e-05     2,164 tok/s
step  4,400/50,000  loss=0.4226  L0=128.0  FVE=0.982  dead=2,784  lr=9.86e-05     2,212 tok/s
